epoch,train_loss,train_acc,val_loss,val_acc,elapsed_s
1,1.505731,0.318356,1.490965,0.355556,4.9
2,1.441704,0.368069,1.365249,0.444444,3.3
3,1.421509,0.396750,1.444118,0.351111,3.4
4,1.403774,0.394837,1.350587,0.391111,3.2
5,1.343179,0.421606,1.293705,0.431111,3.2
6,1.343169,0.415870,1.294091,0.466667,3.2
7,1.314719,0.414914,1.320232,0.440000,3.3
8,1.324145,0.416826,1.289687,0.462222,3.2
9,1.303731,0.429254,1.297825,0.484444,3.2
10,1.243539,0.463671,1.261954,0.524444,3.4
11,1.258547,0.456979,1.240413,0.448889,3.2
12,1.242726,0.466539,1.222726,0.466667,4.2
13,1.172624,0.520076,1.199359,0.546667,3.2
14,1.210031,0.473231,1.207498,0.511111,3.2
15,1.178785,0.486616,1.105666,0.533333,3.2
16,1.155278,0.505736,1.144142,0.537778,3.2
17,1.180824,0.501912,1.076162,0.551111,3.3
18,1.106203,0.547801,1.087884,0.560000,3.2
19,1.098377,0.532505,1.088537,0.502222,3.3
20,1.088706,0.531549,1.183055,0.488889,3.2
21,1.087932,0.553537,1.057653,0.551111,3.2
22,1.085087,0.545889,1.005136,0.608889,3.2
23,1.053022,0.559273,1.115739,0.546667,3.3
24,1.027019,0.567878,1.025474,0.564444,3.6
25,1.036720,0.567878,0.999729,0.560000,3.2
26,0.998625,0.596558,0.926733,0.617778,3.2
27,0.988076,0.597514,0.968725,0.617778,3.2
28,0.969620,0.615679,0.907868,0.631111,3.2
29,0.930996,0.607075,0.875002,0.653333,3.2
30,0.955806,0.619503,0.888055,0.653333,3.4
31,0.910818,0.649140,0.870507,0.631111,3.4
32,0.875680,0.651052,0.821823,0.662222,3.5
33,0.881655,0.653920,0.841298,0.671111,3.4
34,0.863439,0.662524,0.798962,0.680000,3.5
35,0.864107,0.651052,0.819502,0.684444,3.2
36,0.838935,0.673996,0.789657,0.653333,3.2
37,0.856283,0.658700,0.768906,0.675556,3.2
38,0.855847,0.662524,0.759361,0.693333,3.2
39,0.810261,0.667304,0.734306,0.688889,3.3
40,0.786279,0.701721,0.726496,0.680000,3.1
41,0.795735,0.673040,0.714814,0.693333,3.3
42,0.793744,0.683556,0.706040,0.675556,3.3
43,0.774550,0.696941,0.692136,0.671111,3.4
44,0.750992,0.705545,0.705368,0.680000,3.2
45,0.782262,0.687380,0.706291,0.671111,3.2
46,0.780704,0.703633,0.679228,0.684444,3.3
47,0.716979,0.712237,0.677587,0.697778,3.1
48,0.778606,0.687380,0.691544,0.702222,3.1
49,0.753943,0.717017,0.678980,0.693333,3.3
50,0.764120,0.707457,0.680293,0.693333,3.3
